,movie_id,movie_id,final_prediction
54,1373219,1373219,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
55,1880660,1880660,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
56,2118149,2118149,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
57,2294801,2294801,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
58,2531044,2531044,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
59,2550894,2550894,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
60,2711278,2711278,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
61,3613070,3613070,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
62,4213172,4213172,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
63,4290703,4290703,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64,4453379,4453379,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
65,4852050,4852050,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66,5028212,5028212,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
67,5865566,5865566,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
68,6980652,6980652,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
69,7515161,7515161,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
70,9136345,9136345,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
71,9523372,9523372,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
72,9550478,9550478,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
73,9880482,9880482,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
74,10640601,10640601,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
75,11380181,11380181,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
76,12710627,12710627,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
77,14656708,14656708,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
78,15599802,15599802,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
79,15907225,15907225,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
80,17798387,17798387,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
81,18953877,18953877,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
82,18967846,18967846,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
83,19408749,19408749,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
84,19636496,19636496,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
85,20869369,20869369,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
86,21962416,21962416,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
87,22982069,22982069,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
88,23459968,23459968,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
89,23795974,23795974,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
90,26351240,26351240,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
91,27997835,27997835,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
92,28091621,28091621,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
93,28299531,28299531,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
94,28756111,28756111,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
95,29836849,29836849,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
96,32650066,32650066,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
97,34190594,34190594,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
98,34851972,34851972,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
99,35493336,35493336,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
100,161882,161882,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
101,398934,398934,1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
102,560511,560511,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
103,670226,670226,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
104,883446,883446,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
105,1060187,1060187,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
106,1134373,1134373,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
107,1307956,1307956,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
108,2069002,2069002,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
109,2103388,2103388,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
110,2236324,2236324,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
111,2714689,2714689,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
112,3190223,3190223,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
113,4469910,4469910,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
114,6724491,6724491,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
115,9020005,9020005,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
116,9425270,9425270,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
117,10824285,10824285,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
118,13504835,13504835,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
119,14401906,14401906,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
120,16719327,16719327,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
121,16953189,16953189,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
122,17062684,17062684,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
123,19182579,19182579,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
124,19874156,19874156,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
125,19901334,19901334,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
126,20955005,20955005,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
127,21757059,21757059,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
128,22406095,22406095,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
129,24319139,24319139,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
130,25411910,25411910,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
131,27359584,27359584,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
132,28763145,28763145,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
133,30540674,30540674,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
134,31291014,31291014,1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0
135,32741807,32741807,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
136,33172490,33172490,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
137,33224351,33224351,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
138,34467400,34467400,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
139,34750264,34750264,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
140,165794,165794,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
141,1190931,1190931,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
142,1202035,1202035,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
143,2300433,2300433,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
144,3303622,3303622,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
145,3610087,3610087,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
146,5236777,5236777,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
147,5239234,5239234,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
148,5385325,5385325,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
149,6324060,6324060,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
150,6639909,6639909,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
151,6644383,6644383,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
152,8407529,8407529,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
153,10531330,10531330,0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0
154,10536562,10536562,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
155,10634111,10634111,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
156,11541829,11541829,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
157,11699620,11699620,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
158,12100263,12100263,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
159,12145390,12145390,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
160,12685170,12685170,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
161,13019686,13019686,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
162,14359104,14359104,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
163,16564257,16564257,1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
164,17046096,17046096,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
165,18423431,18423431,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
166,19069326,19069326,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
167,19423428,19423428,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
168,21038272,21038272,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
169,21408046,21408046,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
170,24464878,24464878,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
171,25434917,25434917,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
172,26624753,26624753,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
173,28031209,28031209,1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
174,28444311,28444311,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
175,28722788,28722788,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
176,30408389,30408389,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
177,31332767,31332767,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
178,32091063,32091063,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
179,34040360,34040360,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
180,903383,903383,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
181,1540319,1540319,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
182,1790113,1790113,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
183,2780022,2780022,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
184,3304471,3304471,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
185,3645643,3645643,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
186,4333681,4333681,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
187,4901513,4901513,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
188,7214505,7214505,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
189,8422674,8422674,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
190,8748100,8748100,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
191,8788984,8788984,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
192,9415844,9415844,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
193,9461535,9461535,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
194,12532758,12532758,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
195,15937192,15937192,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
196,17730252,17730252,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
197,20967001,20967001,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
198,21153376,21153376,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
199,21380964,21380964,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
200,22558707,22558707,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
201,22643842,22643842,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
202,22963595,22963595,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
203,23946168,23946168,1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
204,26131098,26131098,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
205,29270619,29270619,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
206,32136365,32136365,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
207,34269989,34269989,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
208,34311479,34311479,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
209,35102018,35102018,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
210,217835,217835,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
211,693325,693325,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
212,709391,709391,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
213,714334,714334,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
214,1109777,1109777,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
215,1273396,1273396,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
216,1954206,1954206,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
217,2980727,2980727,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
218,2999596,2999596,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
219,3777574,3777574,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
220,4845539,4845539,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
221,5443971,5443971,1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
222,5984146,5984146,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
223,6392570,6392570,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
224,6650131,6650131,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
225,11186374,11186374,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
226,14336880,14336880,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
227,17233268,17233268,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
228,19451320,19451320,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
229,19787835,19787835,1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
230,20194103,20194103,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
231,20398475,20398475,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
232,20580702,20580702,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
233,21605437,21605437,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
234,21673015,21673015,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
235,24399610,24399610,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
236,24589422,24589422,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
237,25009958,25009958,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
238,30528716,30528716,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
239,31112972,31112972,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
240,31976092,31976092,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
241,32660977,32660977,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
242,35159749,35159749,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
243,36475779,36475779,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
244,32252,32252,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
245,61531,61531,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
246,80538,80538,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
247,142482,142482,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
248,277148,277148,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
249,665901,665901,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
250,702632,702632,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
251,1343517,1343517,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
252,1591945,1591945,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
253,2107054,2107054,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
254,2280521,2280521,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
255,2542946,2542946,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
256,2666222,2666222,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
257,3030423,3030423,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
258,3175826,3175826,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
259,3189853,3189853,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
260,3303413,3303413,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
261,3906643,3906643,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
262,4253806,4253806,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
263,4744688,4744688,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
264,5938502,5938502,1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
265,5991505,5991505,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
266,6842089,6842089,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
267,7174520,7174520,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
268,9446637,9446637,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
269,10104497,10104497,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
270,12232829,12232829,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
271,12781074,12781074,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
272,13273588,13273588,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
273,13650628,13650628,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
274,13905653,13905653,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
275,15117612,15117612,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
276,15757337,15757337,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
277,16431349,16431349,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
278,17407591,17407591,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
279,17767428,17767428,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
